BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,15665.0,61.0,22.0,4.0,12.0,2.77,22.0,11.0
Residential,13484.0,224.0,159.0,2.5,114.5,1.62,138.0,106.0
Residential,201032.0,132.0,64.0,3.0,65.5,2.2,60.0,33.0
Residential,42952.0,95.0,22.0,2.0,84.0,5.0,19.0,4.0
Residential,22978.0,59.0,22.0,2.0,108.0,4.21,14.0,8.0
Commercial,32340.0,2.0,3.0,1.33,18.33,2.0,1.0,0.0
Residential,23952.0,21.0,9.0,2.0,110.0,2.33,9.0,6.0
Residential,17110.0,46.0,14.0,2.0,85.0,3.29,14.0,8.0
Residential,244341.0,228.0,79.0,2.5,87.69,3.51,65.0,49.0
Residential,65982.0,231.0,70.0,2.2,87.0,3.73,62.0,49.0
Residential,61020.0,132.0,64.0,1.17,14.33,2.2,60.0,33.0
Residential,35585.0,18.0,5.0,2.0,56.0,3.6,5.0,0.0
Residential,30572.0,28.0,13.0,1.0,54.0,2.33,12.0,1.0
Residential,18076.0,28.0,16.0,1.0,0.0,2.15,13.0,2.0
Residential,59821.0,35.0,9.0,1.0,50.0,3.89,9.0,0.0
Residential,34756.0,75.0,52.0,2.0,119.0,2.68,28.0,7.0
Residential,15456.0,29.0,12.0,1.5,19.5,2.42,12.0,4.0
Residential,25537.0,98.0,19.0,2.0,101.0,4.15,13.0,8.0
Residential,79663.0,231.0,70.0,1.0,88.89,3.73,62.0,49.0
Commercial,369231.0,456.0,180.0,3.0,81.8,2.73,167.0,167.0
Residential,23918.0,26.0,11.0,2.0,51.0,2.36,11.0,0.0
Commercial,33619.0,192.0,57.0,2.0,46.0,3.56,54.0,35.0
Residential,7070.0,73.0,30.0,1.0,0.0,3.17,23.0,23.0
Residential,142707.0,208.0,68.0,2.42,87.83,3.25,64.0,39.0
Residential,16032.0,118.0,26.0,2.33,89.0,4.72,25.0,15.0
Commercial,6353.0,138.0,53.0,2.33,99.67,3.63,38.0,30.0
Residential,7136.0,63.0,14.0,2.0,52.0,4.5,14.0,4.0
Commercial,34378.0,110.0,34.0,1.0,0.0,3.44,32.0,17.0
Commercial,23756.0,57.0,28.0,2.0,61.0,2.19,26.0,16.0
Residential,68652.0,25.0,12.0,1.0,18.75,2.27,11.0,1.0
Residential,20026.0,76.0,29.0,1.33,89.67,2.92,26.0,15.0
Residential,19829.0,127.0,38.0,1.5,44.5,3.53,36.0,18.0
Residential,13737.0,38.0,12.0,2.0,87.0,3.45,11.0,4.0
Residential,11257.0,27.0,12.0,2.0,52.5,2.45,11.0,3.0
Commercial,71706.0,61.0,29.0,1.5,29.5,2.1,29.0,28.0
Residential,77127.0,33.0,16.0,1.0,92.86,3.0,11.0,5.0
Residential,40519.0,16.0,6.0,1.0,87.0,2.67,6.0,1.0
Residential,91159.0,53.0,14.0,1.17,57.42,3.79,14.0,0.0
Residential,36908.0,86.0,23.0,2.0,36.67,4.3,20.0,11.0
Residential,75708.0,40.0,10.0,1.17,54.33,4.0,10.0,4.0
Residential,37984.0,30.0,9.0,1.4,90.8,5.0,6.0,3.0
Residential,45735.0,66.0,20.0,2.0,40.5,3.47,19.0,18.0
Residential,29679.0,23.0,7.0,1.0,52.0,3.83,6.0,0.0
Residential,95189.0,33.0,14.0,1.0,84.23,2.54,13.0,0.0
Residential,59262.0,61.0,25.0,2.0,91.0,2.65,23.0,9.0
Residential,45766.0,120.0,45.0,2.25,62.0,2.86,42.0,38.0
Residential,16794.0,5.0,4.0,2.0,55.0,1.25,4.0,4.0
Commercial,159392.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0
Commercial,29968.0,70.0,36.0,3.0,121.0,2.06,34.0,26.0
Commercial,19915.0,120.0,36.0,2.0,83.67,3.32,34.0,21.0
Residential,38550.0,4.0,1.0,1.25,66.75,4.0,1.0,0.0
Residential,41887.0,38.0,23.0,2.0,65.0,2.0,19.0,10.0
Residential,34743.0,64.0,28.0,2.25,91.5,2.91,22.0,14.0
Residential,31055.0,26.0,13.0,1.0,54.0,2.17,12.0,4.0
Residential,44185.0,53.0,19.0,2.0,92.2,3.12,17.0,8.0
Commercial,18772.0,60.0,26.0,2.0,129.0,2.73,22.0,16.0
Residential,19484.0,87.0,23.0,2.0,110.0,3.78,23.0,7.0
Residential,12555.0,59.0,16.0,2.0,96.0,4.21,14.0,5.0
Residential,42278.0,2.0,1.0,1.2,38.8,2.0,1.0,0.0
Commercial,24427.0,168.0,58.0,2.0,110.0,3.5,48.0,43.0
Residential,42384.0,26.0,9.0,1.0,4.0,2.89,9.0,0.0
Residential,29196.0,49.0,26.0,2.33,108.33,2.04,24.0,10.0
Commercial,14994.0,175.0,140.0,3.0,112.0,1.41,124.0,88.0
Residential,55141.0,41.0,18.0,2.0,25.0,3.42,12.0,5.0
