state,condition,measure_id,measure_name,score,start_date,end_date
AK,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,140.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),157.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),136.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),136.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,196.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),230.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),182.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),200.0,2023-04-01,2024-03-31
AK,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2.0,2023-01-01,2023-12-31
AK,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,60.0,2023-04-01,2024-03-31
AK,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,87.0,2023-01-01,2023-12-31
AK,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,58.0,2023-04-01,2024-03-31
AK,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,65.0,2023-04-01,2024-03-31
AK,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,79.0,2023-04-01,2024-03-31
AK,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,81.0,2023-04-01,2024-03-31
AK,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,89.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,145.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),172.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),119.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),168.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),191.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,226.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),230.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),192.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),244.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),347.0,2023-04-01,2024-03-31
AL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3.0,2023-01-01,2023-12-31
AL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,67.0,2023-04-01,2024-03-31
AL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,93.0,2023-01-01,2023-12-31
AL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,61.0,2023-04-01,2024-03-31
AL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,70.0,2023-04-01,2024-03-31
AL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,86.0,2023-04-01,2024-03-31
AL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,80.0,2023-04-01,2024-03-31
AL,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,133.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),166.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),114.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),149.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,203.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),232.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),167.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),264.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),212.0,2023-04-01,2024-03-31
AR,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2.0,2023-01-01,2023-12-31
AR,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,72.0,2023-04-01,2024-03-31
AR,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,92.0,2023-01-01,2023-12-31
AR,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,64.0,2023-04-01,2024-03-31
AR,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,77.0,2023-04-01,2024-03-31
AR,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,87.0,2023-04-01,2024-03-31
AR,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,82.0,2023-04-01,2024-03-31
AR,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,90.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,168.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),205.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),130.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),148.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),200.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,262.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),266.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),206.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),247.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),332.0,2023-04-01,2024-03-31
AZ,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3.0,2023-01-01,2023-12-31
AZ,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68.0,2023-04-01,2024-03-31
AZ,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91.0,2023-01-01,2023-12-31
AZ,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,55.0,2023-04-01,2024-03-31
AZ,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,63.0,2023-04-01,2024-03-31
AZ,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,79.0,2023-04-01,2024-03-31
AZ,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,75.0,2023-04-01,2024-03-31
AZ,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,88.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,184.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),193.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),151.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),164.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,270.0,2023-04-01,2024-03-31
