town,studio_units,1br_units,2br_units,3br_units,4br_units,tot_units,square_footage,ceiling_height,final_market_value,investment_rating,net_operating_income,parking_spots,year_built
Barrington,0.0,0,0,0.0,0.0,0,14700,18,2231460,B,83091,0.0,1970
Barrington,0.0,0,0,0.0,0.0,0,265471,30,16310163,A,857471,0.0,1996
Barrington,0.0,0,0,0.0,0.0,0,6000,14,577363,A,38760,0.0,1989
Barrington,0.0,0,0,0.0,0.0,0,3297,14,241963,C,21298,0.0,1916
Barrington,0.0,0,0,0.0,0.0,0,36362,16,2939298,B,146811,0.0,1975
Barrington,0.0,0,0,0.0,0.0,0,80217,15,6717065,A,291488,0.0,1997
Barrington,0.0,0,0,0.0,0.0,0,44960,24,5277499,A,163373,0.0,2005
Barrington,0.0,0,0,0.0,0.0,0,3646,16,1077259,A,23553,0.0,1994
Barrington,0.0,0,0,0.0,0.0,0,27707,24,2241350,A,111867,0.0,2001
Barrington,0.0,0,0,0.0,0.0,0,137547,30,11715163,A,444276,0.0,2008
Barrington,0.0,0,0,0.0,0.0,0,175200,32,25421914,A,565896,0.0,2001
Barrington,0.0,0,0,0.0,0.0,0,527661,29,28685570,A,1704345,0.0,2001
Barrington,0.0,0,0,0.0,0.0,0,382200,30,23090326,A,1234506,0.0,1991
Barrington,0.0,0,0,0.0,0.0,0,154216,32,18505920,A,498117,0.0,2020
Barrington,0.0,0,0,0.0,0.0,0,102458,32,8606472,A,330939,0.0,2011
Barrington,0.0,0,0,0.0,0.0,0,34910,28,3770280,A,140949,0.0,2012
Barrington,0.0,0,0,0.0,0.0,0,25665,20,2891255,A,103622,0.0,2013
Barrington,0.0,0,0,0.0,0.0,0,55731,18,7305090,A,202512,0.0,2020
Barrington,0.0,0,0,0.0,0.0,0,245525,32,29463000,A,793045,0.0,2021
Barrington,0.0,0,0,0.0,0.0,0,11016,26,1372418,C,62267,0.0,2019
Elk Grove,0.0,0,0,0.0,0.0,0,129880,20,13876286,B,786585,0.0,2021
Elk Grove,0.0,0,0,0.0,0.0,0,82580,25,5331685,C,476610,0.0,1987
Elk Grove,0.0,0,0,0.0,0.0,0,61862,18,4378293,C,357036,0.0,2002
Elk Grove,0.0,0,0,0.0,0.0,0,46298,17,2989178,C,267208,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,43813,22,2828737,C,252866,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,41369,20,2670943,C,238761,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,45981,19,2968712,C,265379,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,20292,15,1403079,C,133846,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,41730,14,2694251,C,240844,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,39660,19,2742268,C,261597,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,27954,21,1932863,C,184384,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,35760,24,2574494,C,235872,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,63965,15,4209780,C,369173,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,110995,25,6317465,C,537770,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,22644,21,1565706,C,149359,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,7200,13,560895,C,50459,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,20192,12,1396164,C,133186,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,61840,18,3992630,C,356909,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,157095,15,8941323,C,761125,0.0,1989
Elk Grove,0.0,0,0,0.0,0.0,0,31260,15,2161455,C,206190,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,8000,15,759717,C,56066,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,55094,27,3557082,C,317975,0.0,1994
Elk Grove,0.0,0,0,0.0,0.0,0,40920,22,2641954,C,236169,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,43404,14,2802331,C,250506,0.0,1988
Elk Grove,0.0,0,0,0.0,0.0,0,36452,16,2520453,C,240437,0.0,1980
Elk Grove,0.0,0,0,0.0,0.0,0,12402,16,1497496,C,86916,0.0,1989
Elk Grove,0.0,0,0,0.0,0.0,0,2143,16,371556,C,15018,0.0,1988
Elk Grove,0.0,0,0,0.0,0.0,0,7728,14,590687,C,54159,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,14000,12,1035086,C,98115,0.0,1962
Elk Grove,0.0,0,0,0.0,0.0,0,4908,15,375182,C,34400,0.0,1960
Elk Grove,0.0,0,0,0.0,0.0,0,6195,15,473569,C,43421,0.0,1960
Elk Grove,0.0,0,0,0.0,0.0,0,2545,15,194581,C,17841,0.0,1960
Elk Grove,0.0,0,0,0.0,0.0,0,2450,13,187265,C,17170,0.0,1964
Elk Grove,0.0,0,0,0.0,0.0,0,4987,12,509467,C,34950,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,63370,30,5815975,C,384026,0.0,2009
Elk Grove,0.0,0,0,0.0,0.0,0,106325,20,6051664,C,515144,0.0,1993
Elk Grove,0.0,0,0,0.0,0.0,0,20572,24,1447208,C,135692,0.0,1986
Elk Grove,0.0,0,0,0.0,0.0,0,304912,24,17354574,C,1477298,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,167713,32,14099871,B,812569,0.0,2007
Elk Grove,0.0,0,0,0.0,0.0,0,3220,22,249812,C,22566,0.0,2000
Elk Grove,0.0,0,0,0.0,0.0,0,48056,18,3102682,C,277355,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,40071,12,2587139,C,231269,0.0,1989
Elk Grove,0.0,0,0,0.0,0.0,0,15360,19,1135637,C,107646,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,9991,17,763659,C,70019,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,15000,12,1109020,C,105123,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,12388,17,915903,C,86818,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,13950,17,1031389,C,97765,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,27750,18,1918758,C,183039,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,31480,20,2379545,C,207642,0.0,1975
Elk Grove,0.0,0,0,0.0,0.0,0,3392,8,895347,C,23771,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,113714,12,6472221,C,550944,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,270964,13,15422367,C,1312820,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,193388,40,20661435,B,1171206,0.0,2020
Elk Grove,0.0,0,0,0.0,0.0,0,24160,17,1670529,C,159359,0.0,1975
Elk Grove,0.0,0,0,0.0,0.0,0,51120,22,4691694,C,309791,0.0,2008
Elk Grove,0.0,0,0,0.0,0.0,0,24080,29,1664998,C,158831,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,39985,20,2764740,C,263741,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,31892,23,2205154,C,210359,0.0,1975
Elk Grove,0.0,0,0,0.0,0.0,0,28728,16,1986381,C,189489,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,20410,12,1411238,C,134624,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,12188,18,901116,C,85416,0.0,1988
Elk Grove,0.0,0,0,0.0,0.0,0,7300,18,936436,C,63950,0.0,2021
Elk Grove,0.0,0,0,0.0,0.0,0,31461,21,2175353,C,207516,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,11400,16,842855,C,79894,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,8240,14,633681,C,57747,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,16400,18,1986241,C,143669,0.0,2018
Elk Grove,0.0,0,0,0.0,0.0,0,56320,20,3636238,C,325050,0.0,1994
Elk Grove,0.0,0,0,0.0,0.0,0,94656,20,6111359,C,546307,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,10040,17,742304,C,70362,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,11060,17,817718,C,77511,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,14716,14,2338211,C,103133,0.0,1963
Elk Grove,0.0,0,0,0.0,0.0,0,3128,16,1176867,C,21921,0.0,1997
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5000,14,382173,C,35041,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5000,15,382173,C,35041,0.0,1971
