Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Classical ,eisaaaa,HAMID449,1-0,2016.06.30,22:00:01,1901,1896,11.0,-11.0,D10,Slav Defense,300+5,Time forfeit
 Blitz ,go4jas,Sergei1973,0-1,2016.06.30,22:00:01,1641,1627,-11.0,12.0,C20,King's Pawn Opening: 2.b3,300+0,Normal
 Blitz tournament ,Evangelistaizac,kafune,1-0,2016.06.30,22:00:02,1647,1688,13.0,-13.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Correspondence ,Jvayne,Wsjvayne,1-0,2016.06.30,22:00:02,1706,1317,27.0,-25.0,A00,Van't Kruijs Opening,-,Normal
 Blitz tournament ,kyoday,BrettDale,0-1,2016.06.30,22:00:02,1945,1900,-14.0,13.0,B90,"Sicilian Defense: Najdorf, Lipnitsky Attack",180+0,Time forfeit
 Blitz tournament ,lucaseixasouza,diguim,0-1,2016.06.30,22:00:02,1773,1809,-10.0,10.0,C27,Vienna Game,180+0,Normal
 Blitz tournament ,RENZZO77,HeadlessChicken,0-1,2016.06.30,22:00:02,1895,1886,-12.0,12.0,B10,Caro-Kann Defense: Two Knights Attack,180+0,Time forfeit
 Blitz tournament ,ipero,Bayern123,1-0,2016.06.30,22:00:02,2155,2356,20.0,-20.0,D02,Queen's Pawn Game: London System,180+0,Normal
 Blitz tournament ,Loginov19510410,Kereshu,0-1,2016.06.30,22:00:02,2010,2111,-9.0,9.0,A45,Indian Game,300+0,Normal
 Blitz tournament ,Shambobala,cernunnoss,1-0,2016.06.30,22:00:02,1764,1773,12.0,-12.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Classical ,DARDELU,chess4life54,0-1,2016.06.30,22:00:01,1649,1638,-13.0,11.0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",900+3,Normal
 Classical ,fabikim,sereno,1-0,2016.06.30,22:00:02,1630,1500,7.0,-7.0,C41,Philidor Defense #3,420+5,Normal
 Blitz tournament ,IZDenisZI,BoBo93,1-0,2016.06.30,22:00:02,1833,1837,11.0,-12.0,C36,"King's Gambit Accepted, Modern Defense",300+0,Normal
 Blitz tournament ,lasha-fero,ildivinojohnny,1-0,2016.06.30,22:00:02,2020,1979,10.0,-11.0,A00,Polish Opening,180+0,Time forfeit
 Blitz tournament ,arkadyNa,sofianet06,0-1,2016.06.30,22:00:02,1581,1616,-12.0,11.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Blitz tournament ,mayconchess,trend19,0-1,2016.06.30,22:00:02,1879,1868,-13.0,12.0,B01,Scandinavian Defense: Main Line,180+0,Normal
 Blitz tournament ,lj1983,plmnnnn,1-0,2016.06.30,22:00:02,1963,1979,12.0,-13.0,B10,Caro-Kann Defense: Two Knights Attack,180+0,Normal
 Blitz tournament ,Inorem,leymoral,1-0,2016.06.30,22:00:02,1751,1712,10.0,-10.0,C62,Ruy Lopez: Steinitz Defense,180+0,Normal
 Blitz tournament ,Torres2300,Trabelsi-Wajdi,0-1,2016.06.30,22:00:02,1795,1800,-14.0,11.0,B32,Sicilian Defense: Franco-Sicilian Variation,300+0,Normal
 Blitz tournament ,Igor76,dancg,1-0,2016.06.30,22:00:02,1913,1925,11.0,-13.0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack",300+0,Normal
 Blitz tournament ,yoyoparker,philastro110,1-0,2016.06.30,22:00:02,1707,1739,13.0,-12.0,B01,Scandinavian Defense,300+0,Normal
 Blitz tournament ,Axel15l,cavaleirobranco,1/2-1/2,2016.06.30,22:00:02,1512,1570,6.0,-2.0,C62,Ruy Lopez: Steinitz Defense,300+0,Normal
 Blitz tournament ,Andique,machiine,1-0,2016.06.30,22:00:02,1816,1815,11.0,-10.0,B41,"Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation",300+0,Normal
 Classical tournament ,DORLISS,Ar1551,0-1,2016.06.30,22:00:02,1891,1930,-11.0,13.0,C78,"Ruy Lopez: Morphy Defense, Arkhangelsk Variation",600+0,Time forfeit
